     n     order     reverse     random
     0    0.000001    0.000001    0.000001
    10    0.000001    0.000001    0.000001
    20    0.000001    0.000002    0.000002
    30    0.000001    0.000002    0.000002
    40    0.000001    0.000004    0.000003
    50    0.000001    0.000005    0.000004
    60    0.000001    0.000007    0.000005
    70    0.000001    0.000008    0.000005
    80    0.000001    0.000010    0.000007
    90    0.000001    0.000012    0.000008
   100    0.000001    0.000013    0.000008
   200    0.000001    0.000048    0.000028
   300    0.000002    0.000106    0.000054
   400    0.000002    0.000171    0.000093
   500    0.000002    0.000266    0.000133
   600    0.000003    0.000358    0.000189
   700    0.000003    0.000484    0.000261
   800    0.000003    0.000595    0.000318
   900    0.000004    0.000753    0.000381
  1000    0.000004    0.000882    0.000466
  1100    0.000004    0.001052    0.000507
  1200    0.000004    0.001228    0.000636
  1300    0.000004    0.001380    0.000700
  1400    0.000005    0.001585    0.000793
  1500    0.000005    0.001802    0.000915
  1600    0.000005    0.001966    0.000985
  1700    0.000005    0.002186    0.001078
  1800    0.000006    0.002590    0.001236
  1900    0.000006    0.002644    0.001418
  2000    0.000006    0.003125    0.001602
